0.05594325,0.03164284,0.03382765,0.01367489
0.07562026,0.08376031,0.03433324,0.01447897
0.02497499,0.03517138,0.03781812,0.01469677
0.03280724,0.06765901,0.06242763,0.01056837
0.04009905,0.07865527,0.04488742,0.01099499
0.06665017,0.01953359,0.05933151,0.01261564
0.08055255,0.04321055,0.05297497,0.01011811
0.04256145,0.02565592,0.08348695,0.01490612
0.05874216,0.05712955,0.05322888,0.01204472
0.08431723,0.06346546,0.06312561,0.01223579
0.05541050,0.05699123,0.01631704,0.01416631
0.06388997,0.07600916,0.08213521,0.01093358
0.01645930,0.04165853,0.07943806,0.01473027
0.03066769,0.01731663,0.06065427,0.01199522
